     2   0.108531E+04   0.505131E-01   0.157835E-05   0.321434E+01
     3   0.101311E+04   0.829811E-01   0.315720E-05   0.404857E+01
     4   0.945299E+03   0.938582E-01   0.526311E-05   0.418058E+01
     5   0.892852E+03   0.838809E-01   0.789672E-05   0.389137E+01
     6   0.854629E+03   0.625366E-01   0.110589E-04   0.340123E+01
     7   0.827976E+03   0.401978E-01   0.147505E-04   0.285016E+01
     8   0.809933E+03   0.233587E-01   0.189727E-04   0.232446E+01
     9   0.798533E+03   0.136746E-01   0.237267E-04   0.186820E+01
    10   0.792307E+03   0.953062E-02   0.290138E-04   0.150609E+01
    11   0.789780E+03   0.825172E-02   0.348355E-04   0.124841E+01
    12   0.791042E+03   0.777452E-02   0.411934E-04   0.109612E+01
    13   0.794350E+03   0.707546E-02   0.480891E-04   0.102871E+01
    14   0.798818E+03   0.620894E-02   0.555243E-04   0.102049E+01
    15   0.804719E+03   0.547316E-02   0.635008E-04   0.105344E+01
    16   0.812424E+03   0.512198E-02   0.720204E-04   0.111235E+01
    17   0.821828E+03   0.520844E-02   0.810849E-04   0.118237E+01
    18   0.831974E+03   0.553264E-02   0.906963E-04   0.125174E+01
    19   0.843712E+03   0.593205E-02   0.100856E-03   0.131381E+01
    20   0.855390E+03   0.634159E-02   0.111567E-03   0.136238E+01
    21   0.867349E+03   0.678136E-02   0.122830E-03   0.140205E+01
    22   0.879851E+03   0.737091E-02   0.134647E-03   0.143815E+01
    23   0.892708E+03   0.818318E-02   0.147019E-03   0.147288E+01
    24   0.905979E+03   0.923723E-02   0.159950E-03   0.150777E+01
    25   0.919611E+03   0.105545E-01   0.173439E-03   0.154461E+01
    26   0.933421E+03   0.121100E-01   0.187489E-03   0.158597E+01
    27   0.947635E+03   0.138551E-01   0.202101E-03   0.162996E+01
    28   0.962096E+03   0.157702E-01   0.217277E-03   0.167488E+01
    29   0.976858E+03   0.178622E-01   0.233016E-03   0.171896E+01
    30   0.991836E+03   0.201473E-01   0.249321E-03   0.175907E+01
    31   0.100691E+04   0.226145E-01   0.266193E-03   0.179294E+01
    32   0.102233E+04   0.252397E-01   0.283632E-03   0.181823E+01
    33   0.103810E+04   0.280245E-01   0.301638E-03   0.183162E+01
    34   0.105405E+04   0.309886E-01   0.320212E-03   0.183162E+01
    35   0.107015E+04   0.341532E-01   0.339356E-03   0.182202E+01
    36   0.108632E+04   0.375412E-01   0.359067E-03   0.180544E+01
    37   0.110259E+04   0.411484E-01   0.379348E-03   0.177835E+01
    38   0.111923E+04   0.449741E-01   0.400197E-03   0.173887E+01
    39   0.113625E+04   0.490308E-01   0.421615E-03   0.168911E+01
    40   0.115338E+04   0.533400E-01   0.443601E-03   0.163198E+01
    41   0.117072E+04   0.579232E-01   0.466155E-03   0.156930E+01
    42   0.118805E+04   0.627819E-01   0.489276E-03   0.149932E+01
    43   0.120552E+04   0.679125E-01   0.512963E-03   0.141943E+01
    44   0.122295E+04   0.732963E-01   0.537216E-03   0.132792E+01
    45   0.124074E+04   0.789252E-01   0.562034E-03   0.122315E+01
    46   0.125879E+04   0.847957E-01   0.587416E-03   0.110213E+01
    47   0.127696E+04   0.909096E-01   0.613360E-03   0.966459E+00
    48   0.129520E+04   0.972769E-01   0.639867E-03   0.821519E+00
    49   0.131359E+04   0.103885E+00   0.666934E-03   0.672099E+00
    50   0.133236E+04   0.110716E+00   0.694561E-03   0.516205E+00
    51   0.135129E+04   0.117743E+00   0.722747E-03   0.350096E+00
    52   0.137059E+04   0.125050E+00   0.751490E-03   0.168657E+00
    53   0.138990E+04   0.132782E+00   0.780790E-03  -0.317155E-01
    54   0.140912E+04   0.140926E+00   0.810645E-03  -0.246659E+00
    55   0.142847E+04   0.149458E+00   0.841055E-03  -0.471695E+00
    56   0.144816E+04   0.158229E+00   0.872019E-03  -0.708472E+00
    57   0.146812E+04   0.167136E+00   0.903535E-03  -0.956834E+00
    58   0.148837E+04   0.176188E+00   0.935604E-03  -0.121741E+01
    59   0.150876E+04   0.185428E+00   0.968224E-03  -0.149086E+01
    60   0.152930E+04   0.194913E+00   0.100140E-02  -0.177638E+01
    61   0.155031E+04   0.204737E+00   0.103512E-02  -0.207310E+01
    62   0.157118E+04   0.214886E+00   0.106939E-02  -0.238206E+01
    63   0.159214E+04   0.225319E+00   0.110421E-02  -0.270441E+01
    64   0.161349E+04   0.236044E+00   0.113958E-02  -0.304154E+01
    65   0.163487E+04   0.247036E+00   0.117551E-02  -0.339425E+01
    66   0.165656E+04   0.258225E+00   0.121198E-02  -0.376077E+01
    67   0.167839E+04   0.269613E+00   0.124901E-02  -0.413825E+01
    68   0.170064E+04   0.281241E+00   0.128659E-02  -0.452485E+01
    69   0.172307E+04   0.293070E+00   0.132472E-02  -0.491867E+01
    70   0.174579E+04   0.305141E+00   0.136340E-02  -0.532120E+01
    71   0.176864E+04   0.317443E+00   0.140264E-02  -0.573473E+01
    72   0.179166E+04   0.329951E+00   0.144244E-02  -0.616062E+01
    73   0.181483E+04   0.342631E+00   0.148279E-02  -0.659953E+01
    74   0.183818E+04   0.355473E+00   0.152371E-02  -0.705062E+01
    75   0.186183E+04   0.368487E+00   0.156519E-02  -0.751247E+01
    76   0.188576E+04   0.381674E+00   0.160723E-02  -0.798450E+01
    77   0.191000E+04   0.395028E+00   0.164983E-02  -0.846663E+01
    78   0.193459E+04   0.408574E+00   0.169301E-02  -0.896036E+01
    79   0.195934E+04   0.422256E+00   0.173675E-02  -0.946202E+01
    80   0.198437E+04   0.436081E+00   0.178107E-02  -0.997310E+01
    81   0.200956E+04   0.449997E+00   0.182596E-02  -0.104942E+02
    82   0.203500E+04   0.464027E+00   0.187143E-02  -0.110242E+02
    83   0.206061E+04   0.478145E+00   0.191749E-02  -0.115628E+02
    84   0.208647E+04   0.492347E+00   0.196412E-02  -0.121080E+02
