#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   788   0.234204E+04  -0.105626E+03   0.106067E-04  -0.105626E+03   0.168059E+02  -0.630495E-06   0.106067E-04  -0.630495E-06   0.867306E-08
   789   0.234687E+04  -0.104376E+03   0.105891E-04  -0.104376E+03   0.165732E+02  -0.621264E-06   0.105891E-04  -0.621264E-06   0.865419E-08
   790   0.235163E+04  -0.103089E+03   0.105709E-04  -0.103089E+03   0.163461E+02  -0.612008E-06   0.105709E-04  -0.612008E-06   0.863537E-08
   791   0.235618E+04  -0.101774E+03   0.105523E-04  -0.101774E+03   0.161209E+02  -0.602728E-06   0.105523E-04  -0.602728E-06   0.861662E-08
   792   0.236059E+04  -0.100443E+03   0.105331E-04  -0.100443E+03   0.158998E+02  -0.593427E-06   0.105331E-04  -0.593427E-06   0.859792E-08
   793   0.236479E+04  -0.990760E+02   0.105133E-04  -0.990760E+02   0.156828E+02  -0.584104E-06   0.105133E-04  -0.584104E-06   0.857928E-08
   794   0.236878E+04  -0.976944E+02   0.104931E-04  -0.976944E+02   0.154691E+02  -0.574763E-06   0.104931E-04  -0.574763E-06   0.856070E-08
   795   0.237264E+04  -0.962833E+02   0.104724E-04  -0.962833E+02   0.152581E+02  -0.565404E-06   0.104724E-04  -0.565404E-06   0.854218E-08
   796   0.237650E+04  -0.948575E+02   0.104512E-04  -0.948575E+02   0.150519E+02  -0.556030E-06   0.104512E-04  -0.556030E-06   0.852371E-08
   797   0.238000E+04  -0.934023E+02   0.104295E-04  -0.934023E+02   0.148484E+02  -0.546641E-06   0.104295E-04  -0.546641E-06   0.850530E-08
   798   0.238337E+04  -0.919323E+02   0.104073E-04  -0.919323E+02   0.146496E+02  -0.537240E-06   0.104073E-04  -0.537240E-06   0.848694E-08
   799   0.238660E+04  -0.904402E+02   0.103846E-04  -0.904402E+02   0.144549E+02  -0.527827E-06   0.103846E-04  -0.527827E-06   0.846865E-08
   800   0.238970E+04  -0.889259E+02   0.103614E-04  -0.889259E+02   0.142636E+02  -0.518406E-06   0.103614E-04  -0.518406E-06   0.845040E-08
   801   0.239258E+04  -0.873968E+02   0.103378E-04  -0.873968E+02   0.140770E+02  -0.508976E-06   0.103378E-04  -0.508976E-06   0.843221E-08
   802   0.239518E+04  -0.858305E+02   0.103137E-04  -0.858305E+02   0.138945E+02  -0.499539E-06   0.103137E-04  -0.499539E-06   0.841408E-08
   803   0.239779E+04  -0.842641E+02   0.102892E-04  -0.842641E+02   0.137153E+02  -0.490095E-06   0.102892E-04  -0.490095E-06   0.839600E-08
   804   0.240011E+04  -0.826680E+02   0.102642E-04  -0.826680E+02   0.135417E+02  -0.480644E-06   0.102642E-04  -0.480644E-06   0.837798E-08
   805   0.240238E+04  -0.810569E+02   0.102387E-04  -0.810569E+02   0.133722E+02  -0.471188E-06   0.102387E-04  -0.471188E-06   0.836001E-08
   806   0.240435E+04  -0.794307E+02   0.102128E-04  -0.794307E+02   0.132067E+02  -0.461726E-06   0.102128E-04  -0.461726E-06   0.834210E-08
   807   0.240612E+04  -0.777895E+02   0.101865E-04  -0.777895E+02   0.130467E+02  -0.452259E-06   0.101865E-04  -0.452259E-06   0.832424E-08
   808   0.240767E+04  -0.761258E+02   0.101597E-04  -0.761258E+02   0.128916E+02  -0.442788E-06   0.101597E-04  -0.442788E-06   0.830643E-08
   809   0.240916E+04  -0.744544E+02   0.101325E-04  -0.744544E+02   0.127414E+02  -0.433313E-06   0.101325E-04  -0.433313E-06   0.828868E-08
   810   0.241036E+04  -0.727604E+02   0.101049E-04  -0.727604E+02   0.125959E+02  -0.423834E-06   0.101049E-04  -0.423834E-06   0.827098E-08
   811   0.241135E+04  -0.710519E+02   0.100768E-04  -0.710519E+02   0.124552E+02  -0.414352E-06   0.100768E-04  -0.414352E-06   0.825333E-08
   812   0.241220E+04  -0.693334E+02   0.100483E-04  -0.693334E+02   0.123209E+02  -0.404867E-06   0.100483E-04  -0.404867E-06   0.823574E-08
   813   0.241284E+04  -0.676040E+02   0.100194E-04  -0.676040E+02   0.121899E+02  -0.395380E-06   0.100194E-04  -0.395380E-06   0.821820E-08
   814   0.241342E+04  -0.658616E+02   0.999013E-05  -0.658616E+02   0.120653E+02  -0.385891E-06   0.999013E-05  -0.385891E-06   0.820071E-08
   815   0.241370E+04  -0.641082E+02   0.996041E-05  -0.641082E+02   0.119454E+02  -0.376402E-06   0.996041E-05  -0.376402E-06   0.818328E-08
   816   0.241371E+04  -0.623439E+02   0.993029E-05  -0.623439E+02   0.118311E+02  -0.366911E-06   0.993029E-05  -0.366911E-06   0.816589E-08
   817   0.241357E+04  -0.605694E+02   0.989976E-05  -0.605694E+02   0.117217E+02  -0.357420E-06   0.989976E-05  -0.357420E-06   0.814856E-08
   818   0.241336E+04  -0.587853E+02   0.986885E-05  -0.587853E+02   0.116186E+02  -0.347930E-06   0.986885E-05  -0.347930E-06   0.813128E-08
   819   0.241287E+04  -0.569924E+02   0.983753E-05  -0.569924E+02   0.115203E+02  -0.338440E-06   0.983753E-05  -0.338440E-06   0.811405E-08
   820   0.241224E+04  -0.551907E+02   0.980583E-05  -0.551907E+02   0.114276E+02  -0.328951E-06   0.980583E-05  -0.328951E-06   0.809687E-08
   821   0.241133E+04  -0.533830E+02   0.977375E-05  -0.533830E+02   0.113398E+02  -0.319464E-06   0.977375E-05  -0.319464E-06   0.807975E-08
   822   0.241027E+04  -0.515679E+02   0.974129E-05  -0.515679E+02   0.112590E+02  -0.309979E-06   0.974129E-05  -0.309979E-06   0.806267E-08
   823   0.240900E+04  -0.497460E+02   0.970845E-05  -0.497460E+02   0.111831E+02  -0.300496E-06   0.970845E-05  -0.300496E-06   0.804565E-08
   824   0.240744E+04  -0.479181E+02   0.967525E-05  -0.479181E+02   0.111135E+02  -0.291017E-06   0.967525E-05  -0.291017E-06   0.802867E-08
   825   0.240581E+04  -0.460863E+02   0.964167E-05  -0.460863E+02   0.110488E+02  -0.281541E-06   0.964167E-05  -0.281541E-06   0.801175E-08
   826   0.240390E+04  -0.442498E+02   0.960773E-05  -0.442498E+02   0.109912E+02  -0.272069E-06   0.960773E-05  -0.272069E-06   0.799487E-08
   827   0.240177E+04  -0.424110E+02   0.957344E-05  -0.424110E+02   0.109384E+02  -0.262602E-06   0.957344E-05  -0.262602E-06   0.797804E-08
   828   0.239958E+04  -0.405689E+02   0.953879E-05  -0.405689E+02   0.108919E+02  -0.253139E-06   0.953879E-05  -0.253139E-06   0.796127E-08
   829   0.239709E+04  -0.387250E+02   0.950379E-05  -0.387250E+02   0.108518E+02  -0.243682E-06   0.950379E-05  -0.243682E-06   0.794454E-08
   830   0.239447E+04  -0.368815E+02   0.946844E-05  -0.368815E+02   0.108173E+02  -0.234230E-06   0.946844E-05  -0.234230E-06   0.792786E-08
   831   0.239163E+04  -0.350370E+02   0.943276E-05  -0.350370E+02   0.107884E+02  -0.224785E-06   0.943276E-05  -0.224785E-06   0.791123E-08
   832   0.238858E+04  -0.331927E+02   0.939673E-05  -0.331927E+02   0.107651E+02  -0.215347E-06   0.939673E-05  -0.215347E-06   0.789465E-08
   833   0.238538E+04  -0.313495E+02   0.936037E-05  -0.313495E+02   0.107482E+02  -0.205916E-06   0.936037E-05  -0.205916E-06   0.787812E-08
   834   0.238189E+04  -0.295073E+02   0.932369E-05  -0.295073E+02   0.107368E+02  -0.196493E-06   0.932369E-05  -0.196493E-06   0.786164E-08
   835   0.237834E+04  -0.276676E+02   0.928667E-05  -0.276676E+02   0.107326E+02  -0.187078E-06   0.928667E-05  -0.187078E-06   0.784520E-08
   836   0.237442E+04  -0.258302E+02   0.924934E-05  -0.258302E+02   0.107333E+02  -0.177672E-06   0.924934E-05  -0.177672E-06   0.782881E-08
   837   0.237044E+04  -0.239967E+02   0.921169E-05  -0.239967E+02   0.107403E+02  -0.168275E-06   0.921169E-05  -0.168275E-06   0.781247E-08
   838   0.236624E+04  -0.221671E+02   0.917373E-05  -0.221671E+02   0.107537E+02  -0.158888E-06   0.917373E-05  -0.158888E-06   0.779618E-08
   839   0.236175E+04  -0.203412E+02   0.913546E-05  -0.203412E+02   0.107726E+02  -0.149511E-06   0.913546E-05  -0.149511E-06   0.777993E-08
   840   0.235719E+04  -0.185213E+02   0.909688E-05  -0.185213E+02   0.107988E+02  -0.140144E-06   0.909688E-05  -0.140144E-06   0.776373E-08
   841   0.235241E+04  -0.167088E+02   0.905800E-05  -0.167088E+02   0.108297E+02  -0.130789E-06   0.905800E-05  -0.130789E-06   0.774758E-08
   842   0.234742E+04  -0.149007E+02   0.901883E-05  -0.149007E+02   0.108664E+02  -0.121444E-06   0.901883E-05  -0.121444E-06   0.773147E-08
   843   0.234228E+04  -0.131030E+02   0.897937E-05  -0.131030E+02   0.109093E+02  -0.112112E-06   0.897937E-05  -0.112112E-06   0.771541E-08
   844   0.233686E+04  -0.113118E+02   0.893962E-05  -0.113118E+02   0.109587E+02  -0.102793E-06   0.893962E-05  -0.102793E-06   0.769939E-08
   845   0.233136E+04  -0.953009E+01   0.889958E-05  -0.953009E+01   0.110130E+02  -0.934864E-07   0.889958E-05  -0.934864E-07   0.768343E-08
   846   0.232573E+04  -0.775837E+01   0.885927E-05  -0.775837E+01   0.110751E+02  -0.841933E-07   0.885927E-05  -0.841933E-07   0.766750E-08
   847   0.231994E+04  -0.599630E+01   0.881868E-05  -0.599630E+01   0.111414E+02  -0.749140E-07   0.881868E-05  -0.749140E-07   0.765162E-08
   848   0.231395E+04  -0.424576E+01   0.877782E-05  -0.424576E+01   0.112140E+02  -0.656492E-07   0.877782E-05  -0.656492E-07   0.763579E-08
   849   0.230766E+04  -0.250610E+01   0.873670E-05  -0.250610E+01   0.112923E+02  -0.563992E-07   0.873670E-05  -0.563992E-07   0.762000E-08
   850   0.230137E+04  -0.778398E+00   0.869531E-05  -0.778398E+00   0.113770E+02  -0.471645E-07   0.869531E-05  -0.471645E-07   0.760426E-08
   851   0.229479E+04   0.936786E+00   0.865366E-05   0.936786E+00   0.114673E+02  -0.379457E-07   0.865366E-05  -0.379457E-07   0.758856E-08
   852   0.228807E+04   0.263906E+01   0.861176E-05   0.263906E+01   0.115641E+02  -0.287440E-07   0.861176E-05  -0.287440E-07   0.757290E-08
   853   0.228121E+04   0.432769E+01   0.856961E-05   0.432769E+01   0.116657E+02  -0.195606E-07   0.856961E-05  -0.195606E-07   0.755729E-08
   854   0.227412E+04   0.600125E+01   0.852721E-05   0.600125E+01   0.117738E+02  -0.103967E-07   0.852721E-05  -0.103967E-07   0.754172E-08
   855   0.226682E+04   0.766072E+01   0.848457E-05   0.766072E+01   0.118875E+02  -0.125367E-08   0.848457E-05  -0.125367E-08   0.752620E-08
   856   0.225952E+04   0.930424E+01   0.844169E-05   0.930424E+01   0.120055E+02   0.786731E-08   0.844169E-05   0.786731E-08   0.751072E-08
   857   0.225192E+04   0.109311E+02   0.839858E-05   0.109311E+02   0.121299E+02   0.169650E-07   0.839858E-05   0.169650E-07   0.749528E-08
   858   0.224419E+04   0.125412E+02   0.835524E-05   0.125412E+02   0.122614E+02   0.260380E-07   0.835524E-05   0.260380E-07   0.747989E-08
   859   0.223630E+04   0.141354E+02   0.831167E-05   0.141354E+02   0.123957E+02   0.350852E-07   0.831167E-05   0.350852E-07   0.746454E-08
   860   0.222835E+04   0.157106E+02   0.826788E-05   0.157106E+02   0.125365E+02   0.441054E-07   0.826788E-05   0.441054E-07   0.744923E-08
   861   0.222017E+04   0.172670E+02   0.822387E-05   0.172670E+02   0.126830E+02   0.530972E-07   0.822387E-05   0.530972E-07   0.743397E-08
   862   0.221185E+04   0.188051E+02   0.817964E-05   0.188051E+02   0.128345E+02   0.620593E-07   0.817964E-05   0.620593E-07   0.741875E-08
   863   0.220338E+04   0.203229E+02   0.813521E-05   0.203229E+02   0.129917E+02   0.709907E-07   0.813521E-05   0.709907E-07   0.740357E-08
   864   0.219476E+04   0.218209E+02   0.809057E-05   0.218209E+02   0.131533E+02   0.798899E-07   0.809057E-05   0.798899E-07   0.738843E-08
   865   0.218585E+04   0.232971E+02   0.804573E-05   0.232971E+02   0.133205E+02   0.887557E-07   0.804573E-05   0.887557E-07   0.737333E-08
   866   0.217717E+04   0.247522E+02   0.800069E-05   0.247522E+02   0.134928E+02   0.975869E-07   0.800069E-05   0.975869E-07   0.735828E-08
   867   0.216811E+04   0.261853E+02   0.795546E-05   0.261853E+02   0.136709E+02   0.106382E-06   0.795546E-05   0.106382E-06   0.734327E-08
   868   0.215898E+04   0.275966E+02   0.791004E-05   0.275966E+02   0.138533E+02   0.115140E-06   0.791004E-05   0.115140E-06   0.732830E-08
   869   0.214970E+04   0.289852E+02   0.786443E-05   0.289852E+02   0.140407E+02   0.123860E-06   0.786443E-05   0.123860E-06   0.731337E-08
   870   0.214028E+04   0.303505E+02   0.781864E-05   0.303505E+02   0.142324E+02   0.132540E-06   0.781864E-05   0.132540E-06   0.729849E-08
   871   0.213078E+04   0.316916E+02   0.777267E-05   0.316916E+02   0.144292E+02   0.141180E-06   0.777267E-05   0.141180E-06   0.728364E-08
   872   0.212113E+04   0.330094E+02   0.772653E-05   0.330094E+02   0.146311E+02   0.149777E-06   0.772653E-05   0.149777E-06   0.726884E-08
   873   0.211133E+04   0.343023E+02   0.768021E-05   0.343023E+02   0.148373E+02   0.158330E-06   0.768021E-05   0.158330E-06   0.725408E-08
   874   0.210146E+04   0.355696E+02   0.763374E-05   0.355696E+02   0.150486E+02   0.166839E-06   0.763374E-05   0.166839E-06   0.723935E-08
   875   0.209144E+04   0.368128E+02   0.758710E-05   0.368128E+02   0.152628E+02   0.175302E-06   0.758710E-05   0.175302E-06   0.722467E-08
   876   0.208127E+04   0.380304E+02   0.754030E-05   0.380304E+02   0.154828E+02   0.183718E-06   0.754030E-05   0.183718E-06   0.721003E-08
   877   0.207117E+04   0.392209E+02   0.749335E-05   0.392209E+02   0.157065E+02   0.192086E-06   0.749335E-05   0.192086E-06   0.719543E-08
   878   0.206077E+04   0.403850E+02   0.744625E-05   0.403850E+02   0.159338E+02   0.200403E-06   0.744625E-05   0.200403E-06   0.718087E-08
   879   0.205037E+04   0.415229E+02   0.739900E-05   0.415229E+02   0.161662E+02   0.208670E-06   0.739900E-05   0.208670E-06   0.716635E-08
   880   0.203990E+04   0.426336E+02   0.735162E-05   0.426336E+02   0.164023E+02   0.216885E-06   0.735162E-05   0.216885E-06   0.715187E-08
   881   0.202928E+04   0.437157E+02   0.730409E-05   0.437157E+02   0.166413E+02   0.225046E-06   0.730409E-05   0.225046E-06   0.713743E-08
   882   0.201857E+04   0.447701E+02   0.725644E-05   0.447701E+02   0.168848E+02   0.233152E-06   0.725644E-05   0.233152E-06   0.712303E-08
   883   0.200787E+04   0.457951E+02   0.720865E-05   0.457951E+02   0.171326E+02   0.241202E-06   0.720865E-05   0.241202E-06   0.710866E-08
   884   0.199694E+04   0.467930E+02   0.716073E-05   0.467930E+02   0.173827E+02   0.249196E-06   0.716073E-05   0.249196E-06   0.709434E-08
   885   0.198594E+04   0.477609E+02   0.711270E-05   0.477609E+02   0.176371E+02   0.257130E-06   0.711270E-05   0.257130E-06   0.708006E-08
   886   0.197493E+04   0.486994E+02   0.706455E-05   0.486994E+02   0.178953E+02   0.265005E-06   0.706455E-05   0.265005E-06   0.706581E-08
   887   0.196376E+04   0.496087E+02   0.701628E-05   0.496087E+02   0.181558E+02   0.272819E-06   0.701628E-05   0.272819E-06   0.705160E-08
   888   0.195267E+04   0.504879E+02   0.696791E-05   0.504879E+02   0.184206E+02   0.280571E-06   0.696791E-05   0.280571E-06   0.703744E-08
   889   0.194128E+04   0.513370E+02   0.691943E-05   0.513370E+02   0.186870E+02   0.288259E-06   0.691943E-05   0.288259E-06   0.702331E-08
   890   0.192996E+04   0.521546E+02   0.687085E-05   0.521546E+02   0.189579E+02   0.295882E-06   0.687085E-05   0.295882E-06   0.700922E-08
   891   0.191863E+04   0.529429E+02   0.682217E-05   0.529429E+02   0.192310E+02   0.303440E-06   0.682217E-05   0.303440E-06   0.699516E-08
   892   0.190723E+04   0.537012E+02   0.677340E-05   0.537012E+02   0.195064E+02   0.310930E-06   0.677340E-05   0.310930E-06   0.698115E-08
   893   0.189567E+04   0.544279E+02   0.672454E-05   0.544279E+02   0.197855E+02   0.318352E-06   0.672454E-05   0.318352E-06   0.696717E-08
   894   0.188418E+04   0.551230E+02   0.667560E-05   0.551230E+02   0.200662E+02   0.325703E-06   0.667560E-05   0.325703E-06   0.695323E-08
   895   0.187254E+04   0.557889E+02   0.662657E-05   0.557889E+02   0.203492E+02   0.332984E-06   0.662657E-05   0.332984E-06   0.693933E-08
   896   0.186089E+04   0.564225E+02   0.657747E-05   0.564225E+02   0.206352E+02   0.340193E-06   0.657747E-05   0.340193E-06   0.692546E-08
   897   0.184916E+04   0.570253E+02   0.652829E-05   0.570253E+02   0.209236E+02   0.347327E-06   0.652829E-05   0.347327E-06   0.691164E-08
   898   0.183750E+04   0.575965E+02   0.647905E-05   0.575965E+02   0.212135E+02   0.354388E-06   0.647905E-05   0.354388E-06   0.689784E-08
   899   0.182576E+04   0.581355E+02   0.642974E-05   0.581355E+02   0.215057E+02   0.361372E-06   0.642974E-05   0.361372E-06   0.688409E-08
   900   0.181394E+04   0.586437E+02   0.638037E-05   0.586437E+02   0.217995E+02   0.368278E-06   0.638037E-05   0.368278E-06   0.687037E-08
   901   0.180218E+04   0.591195E+02   0.633094E-05   0.591195E+02   0.220949E+02   0.375107E-06   0.633094E-05   0.375107E-06   0.685669E-08
   902   0.179035E+04   0.595639E+02   0.628146E-05   0.595639E+02   0.223920E+02   0.381856E-06   0.628146E-05   0.381856E-06   0.684305E-08
   903   0.177836E+04   0.599758E+02   0.623193E-05   0.599758E+02   0.226906E+02   0.388527E-06   0.623193E-05   0.388527E-06   0.682944E-08
   904   0.176658E+04   0.603554E+02   0.618236E-05   0.603554E+02   0.229901E+02   0.395120E-06   0.618236E-05   0.395120E-06   0.681587E-08
   905   0.175465E+04   0.607026E+02   0.613275E-05   0.607026E+02   0.232920E+02   0.401634E-06   0.613275E-05   0.401634E-06   0.680233E-08
   906   0.174272E+04   0.610173E+02   0.608311E-05   0.610173E+02   0.235940E+02   0.408069E-06   0.608311E-05   0.408069E-06   0.678883E-08
   907   0.173085E+04   0.612996E+02   0.603343E-05   0.612996E+02   0.238969E+02   0.414425E-06   0.603343E-05   0.414425E-06   0.677537E-08
   908   0.171904E+04   0.615500E+02   0.598373E-05   0.615500E+02   0.242007E+02   0.420703E-06   0.598373E-05   0.420703E-06   0.676194E-08
   909   0.170716E+04   0.617672E+02   0.593401E-05   0.617672E+02   0.245054E+02   0.426902E-06   0.593401E-05   0.426902E-06   0.674855E-08
   910   0.169519E+04   0.619532E+02   0.588428E-05   0.619532E+02   0.248117E+02   0.433022E-06   0.588428E-05   0.433022E-06   0.673519E-08
   911   0.168330E+04   0.621059E+02   0.583453E-05   0.621059E+02   0.251168E+02   0.439063E-06   0.583453E-05   0.439063E-06   0.672187E-08
   912   0.167139E+04   0.622266E+02   0.578478E-05   0.622266E+02   0.254235E+02   0.445025E-06   0.578478E-05   0.445025E-06   0.670858E-08
   913   0.165925E+04   0.623147E+02   0.573502E-05   0.623147E+02   0.257296E+02   0.450909E-06   0.573502E-05   0.450909E-06   0.669533E-08
   914   0.164748E+04   0.623715E+02   0.568527E-05   0.623715E+02   0.260359E+02   0.456713E-06   0.568527E-05   0.456713E-06   0.668211E-08
   915   0.163555E+04   0.623963E+02   0.563552E-05   0.623963E+02   0.263424E+02   0.462439E-06   0.563552E-05   0.462439E-06   0.666893E-08
   916   0.162376E+04   0.623883E+02   0.558578E-05   0.623883E+02   0.266484E+02   0.468086E-06   0.558578E-05   0.468086E-06   0.665578E-08
   917   0.161189E+04   0.623496E+02   0.553606E-05   0.623496E+02   0.269553E+02   0.473654E-06   0.553606E-05   0.473654E-06   0.664267E-08
   918   0.160017E+04   0.622781E+02   0.548636E-05   0.622781E+02   0.272609E+02   0.479143E-06   0.548636E-05   0.479143E-06   0.662959E-08
   919   0.158843E+04   0.621752E+02   0.543668E-05   0.621752E+02   0.275661E+02   0.484552E-06   0.543668E-05   0.484552E-06   0.661655E-08
   920   0.157668E+04   0.620401E+02   0.538703E-05   0.620401E+02   0.278707E+02   0.489883E-06   0.538703E-05   0.489883E-06   0.660354E-08
   921   0.156508E+04   0.618734E+02   0.533742E-05   0.618734E+02   0.281747E+02   0.495135E-06   0.533742E-05   0.495135E-06   0.659057E-08
   922   0.155339E+04   0.616760E+02   0.528785E-05   0.616760E+02   0.284776E+02   0.500308E-06   0.528785E-05   0.500308E-06   0.657763E-08
   923   0.154177E+04   0.614478E+02   0.523831E-05   0.614478E+02   0.287791E+02   0.505401E-06   0.523831E-05   0.505401E-06   0.656472E-08
   924   0.153022E+04   0.611880E+02   0.518883E-05   0.611880E+02   0.290802E+02   0.510416E-06   0.518883E-05   0.510416E-06   0.655185E-08
   925   0.151880E+04   0.608973E+02   0.513939E-05   0.608973E+02   0.293793E+02   0.515351E-06   0.513939E-05   0.515351E-06   0.653901E-08
   926   0.150731E+04   0.605771E+02   0.509002E-05   0.605771E+02   0.296779E+02   0.520207E-06   0.509002E-05   0.520207E-06   0.652620E-08
   927   0.149595E+04   0.602260E+02   0.504070E-05   0.602260E+02   0.299746E+02   0.524984E-06   0.504070E-05   0.524984E-06   0.651343E-08
   928   0.148466E+04   0.598446E+02   0.499145E-05   0.598446E+02   0.302700E+02   0.529682E-06   0.499145E-05   0.529682E-06   0.650069E-08
   929   0.147336E+04   0.594345E+02   0.494227E-05   0.594345E+02   0.305635E+02   0.534300E-06   0.494227E-05   0.534300E-06   0.648799E-08
   930   0.146220E+04   0.589940E+02   0.489317E-05   0.589940E+02   0.308543E+02   0.538839E-06   0.489317E-05   0.538839E-06   0.647532E-08
   931   0.145103E+04   0.585246E+02   0.484414E-05   0.585246E+02   0.311446E+02   0.543299E-06   0.484414E-05   0.543299E-06   0.646268E-08
   932   0.144000E+04   0.580263E+02   0.479520E-05   0.580263E+02   0.314315E+02   0.547680E-06   0.479520E-05   0.547680E-06   0.645007E-08
   933   0.142904E+04   0.574999E+02   0.474634E-05   0.574999E+02   0.317165E+02   0.551981E-06   0.474634E-05   0.551981E-06   0.643750E-08
   934   0.141814E+04   0.569459E+02   0.469758E-05   0.569459E+02   0.320002E+02   0.556203E-06   0.469758E-05   0.556203E-06   0.642496E-08
   935   0.140731E+04   0.563622E+02   0.464892E-05   0.563622E+02   0.322806E+02   0.560345E-06   0.464892E-05   0.560345E-06   0.641245E-08
   936   0.139662E+04   0.557517E+02   0.460035E-05   0.557517E+02   0.325583E+02   0.564408E-06   0.460035E-05   0.564408E-06   0.639998E-08
   937   0.138591E+04   0.551135E+02   0.455190E-05   0.551135E+02   0.328342E+02   0.568392E-06   0.455190E-05   0.568392E-06   0.638754E-08
   938   0.137535E+04   0.544485E+02   0.450355E-05   0.544485E+02   0.331073E+02   0.572296E-06   0.450355E-05   0.572296E-06   0.637513E-08
   939   0.136493E+04   0.537566E+02   0.445532E-05   0.537566E+02   0.333764E+02   0.576121E-06   0.445532E-05   0.576121E-06   0.636275E-08
   940   0.135450E+04   0.530384E+02   0.440721E-05   0.530384E+02   0.336435E+02   0.579866E-06   0.440721E-05   0.579866E-06   0.635040E-08
   941   0.134420E+04   0.522940E+02   0.435922E-05   0.522940E+02   0.339073E+02   0.583532E-06   0.435922E-05   0.583532E-06   0.633809E-08
   942   0.133397E+04   0.515241E+02   0.431137E-05   0.515241E+02   0.341677E+02   0.587118E-06   0.431137E-05   0.587118E-06   0.632581E-08
   943   0.132396E+04   0.507293E+02   0.426364E-05   0.507293E+02   0.344247E+02   0.590624E-06   0.426364E-05   0.590624E-06   0.631356E-08
   944   0.131401E+04   0.499089E+02   0.421606E-05   0.499089E+02   0.346784E+02   0.594051E-06   0.421606E-05   0.594051E-06   0.630134E-08
   945   0.130412E+04   0.490643E+02   0.416861E-05   0.490643E+02   0.349280E+02   0.597399E-06   0.416861E-05   0.597399E-06   0.628915E-08
   946   0.129438E+04   0.481956E+02   0.412132E-05   0.481956E+02   0.351750E+02   0.600666E-06   0.412132E-05   0.600666E-06   0.627700E-08
   947   0.128469E+04   0.473041E+02   0.407417E-05   0.473041E+02   0.354180E+02   0.603854E-06   0.407417E-05   0.603854E-06   0.626487E-08
   948   0.127500E+04   0.463890E+02   0.402718E-05   0.463890E+02   0.356583E+02   0.606962E-06   0.402718E-05   0.606962E-06   0.625278E-08
   949   0.126560E+04   0.454519E+02   0.398036E-05   0.454519E+02   0.358931E+02   0.609991E-06   0.398036E-05   0.609991E-06   0.624071E-08
   950   0.125626E+04   0.444920E+02   0.393369E-05   0.444920E+02   0.361245E+02   0.612940E-06   0.393369E-05   0.612940E-06   0.622868E-08
   951   0.124705E+04   0.435106E+02   0.388720E-05   0.435106E+02   0.363527E+02   0.615809E-06   0.388720E-05   0.615809E-06   0.621668E-08
   952   0.123799E+04   0.425086E+02   0.384088E-05   0.425086E+02   0.365768E+02   0.618598E-06   0.384088E-05   0.618598E-06   0.620471E-08
   953   0.122899E+04   0.414851E+02   0.379473E-05   0.414851E+02   0.367953E+02   0.621309E-06   0.379473E-05   0.621309E-06   0.619277E-08
   954   0.122013E+04   0.404415E+02   0.374876E-05   0.404415E+02   0.370105E+02   0.623941E-06   0.374876E-05   0.623941E-06   0.618086E-08
   955   0.121133E+04   0.393780E+02   0.370297E-05   0.393780E+02   0.372209E+02   0.626495E-06   0.370297E-05   0.626495E-06   0.616899E-08
   956   0.120268E+04   0.382943E+02   0.365736E-05   0.382943E+02   0.374273E+02   0.628970E-06   0.365736E-05   0.628970E-06   0.615714E-08
   957   0.119424E+04   0.371927E+02   0.361194E-05   0.371927E+02   0.376281E+02   0.631369E-06   0.361194E-05   0.631369E-06   0.614532E-08
   958   0.118578E+04   0.360718E+02   0.356670E-05   0.360718E+02   0.378240E+02   0.633690E-06   0.356670E-05   0.633690E-06   0.613353E-08
   959   0.117762E+04   0.349328E+02   0.352164E-05   0.349328E+02   0.380167E+02   0.635934E-06   0.352164E-05   0.635934E-06   0.612178E-08
   960   0.116952E+04   0.337782E+02   0.347678E-05   0.337782E+02   0.382037E+02   0.638101E-06   0.347678E-05   0.638101E-06   0.611005E-08
   961   0.116149E+04   0.326054E+02   0.343212E-05   0.326054E+02   0.383860E+02   0.640193E-06   0.343212E-05   0.640193E-06   0.609835E-08
   962   0.115367E+04   0.314169E+02   0.338764E-05   0.314169E+02   0.385634E+02   0.642209E-06   0.338764E-05   0.642209E-06   0.608668E-08
   963   0.114599E+04   0.302125E+02   0.334337E-05   0.302125E+02   0.387361E+02   0.644149E-06   0.334337E-05   0.644149E-06   0.607505E-08
   964   0.113845E+04   0.289937E+02   0.329929E-05   0.289937E+02   0.389031E+02   0.646015E-06   0.329929E-05   0.646015E-06   0.606344E-08
   965   0.113097E+04   0.277597E+02   0.325542E-05   0.277597E+02   0.390653E+02   0.647805E-06   0.325542E-05   0.647805E-06   0.605186E-08
   966   0.112371E+04   0.265119E+02   0.321175E-05   0.265119E+02   0.392227E+02   0.649522E-06   0.321175E-05   0.649522E-06   0.604031E-08
   967   0.111652E+04   0.252504E+02   0.316829E-05   0.252504E+02   0.393753E+02   0.651164E-06   0.316829E-05   0.651164E-06   0.602879E-08
   968   0.110947E+04   0.239758E+02   0.312504E-05   0.239758E+02   0.395208E+02   0.652734E-06   0.312504E-05   0.652734E-06   0.601730E-08
   969   0.110263E+04   0.226896E+02   0.308200E-05   0.226896E+02   0.396614E+02   0.654229E-06   0.308200E-05   0.654229E-06   0.600584E-08
