#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.120224E+04   0.143132E+01   0.988396E-03   0.143132E+01   0.675017E-01  -0.196005E-06   0.988396E-03  -0.196005E-06   0.137347E-06
    44   0.121956E+04   0.134080E+01   0.966809E-03   0.134080E+01   0.728701E-01  -0.147503E-06   0.966809E-03  -0.147503E-06   0.136996E-06
    45   0.123723E+04   0.123683E+01   0.946025E-03   0.123683E+01   0.784846E-01  -0.148618E-06   0.946025E-03  -0.148618E-06   0.136617E-06
    46   0.125517E+04   0.111635E+01   0.926092E-03   0.111635E+01   0.843424E-01  -0.208833E-06   0.926092E-03  -0.208833E-06   0.136213E-06
    47   0.127323E+04   0.981000E+00   0.906901E-03   0.981000E+00   0.904446E-01  -0.312840E-06   0.906901E-03  -0.312840E-06   0.135785E-06
    48   0.129135E+04   0.836292E+00   0.888305E-03   0.836292E+00   0.968008E-01  -0.439131E-06   0.888305E-03  -0.439131E-06   0.135334E-06
    49   0.130962E+04   0.687126E+00   0.870157E-03   0.687126E+00   0.103398E+00  -0.566201E-06   0.870157E-03  -0.566201E-06   0.134863E-06
    50   0.132827E+04   0.531626E+00   0.852308E-03   0.531626E+00   0.110216E+00  -0.672543E-06   0.852308E-03  -0.672543E-06   0.134372E-06
    51   0.134708E+04   0.366129E+00   0.834662E-03   0.366129E+00   0.117230E+00  -0.741591E-06   0.834662E-03  -0.741591E-06   0.133865E-06
    52   0.136627E+04   0.185462E+00   0.817324E-03   0.185462E+00   0.124523E+00  -0.776543E-06   0.817324E-03  -0.776543E-06   0.133341E-06
    53   0.138545E+04  -0.140755E-01   0.800451E-03  -0.140755E-01   0.132241E+00  -0.785538E-06   0.800451E-03  -0.785538E-06   0.132802E-06
    54   0.140455E+04  -0.228216E+00   0.784198E-03  -0.228216E+00   0.140371E+00  -0.776714E-06   0.784198E-03  -0.776714E-06   0.132248E-06
    55   0.142377E+04  -0.452577E+00   0.768722E-03  -0.452577E+00   0.148890E+00  -0.758211E-06   0.768722E-03  -0.758211E-06   0.131682E-06
    56   0.144334E+04  -0.688876E+00   0.754129E-03  -0.688876E+00   0.157650E+00  -0.736707E-06   0.754129E-03  -0.736707E-06   0.131103E-06
    57   0.146318E+04  -0.936924E+00   0.740325E-03  -0.936924E+00   0.166546E+00  -0.713036E-06   0.740325E-03  -0.713036E-06   0.130513E-06
    58   0.148330E+04  -0.119729E+01   0.727167E-03  -0.119729E+01   0.175589E+00  -0.686574E-06   0.727167E-03  -0.686574E-06   0.129912E-06
    59   0.150357E+04  -0.147056E+01   0.714513E-03  -0.147056E+01   0.184822E+00  -0.656695E-06   0.714513E-03  -0.656695E-06   0.129300E-06
    60   0.152399E+04  -0.175590E+01   0.702220E-03  -0.175590E+01   0.194299E+00  -0.622773E-06   0.702220E-03  -0.622773E-06   0.128679E-06
    61   0.154486E+04  -0.205236E+01   0.690161E-03  -0.205236E+01   0.204116E+00  -0.584812E-06   0.690161E-03  -0.584812E-06   0.128048E-06
    62   0.156561E+04  -0.236101E+01   0.678286E-03  -0.236101E+01   0.214259E+00  -0.545328E-06   0.678286E-03  -0.545328E-06   0.127410E-06
    63   0.158644E+04  -0.268303E+01   0.666561E-03  -0.268303E+01   0.224686E+00  -0.507466E-06   0.666561E-03  -0.507466E-06   0.126764E-06
    64   0.160766E+04  -0.301983E+01   0.654953E-03  -0.301983E+01   0.235406E+00  -0.474370E-06   0.654953E-03  -0.474370E-06   0.126112E-06
    65   0.162891E+04  -0.337222E+01   0.643426E-03  -0.337222E+01   0.246391E+00  -0.449186E-06   0.643426E-03  -0.449186E-06   0.125455E-06
    66   0.165047E+04  -0.373848E+01   0.631971E-03  -0.373848E+01   0.257574E+00  -0.434893E-06   0.631971E-03  -0.434893E-06   0.124794E-06
    67   0.167218E+04  -0.411573E+01   0.620665E-03  -0.411573E+01   0.268956E+00  -0.433810E-06   0.620665E-03  -0.433810E-06   0.124129E-06
    68   0.169431E+04  -0.450214E+01   0.609608E-03  -0.450214E+01   0.280578E+00  -0.448094E-06   0.609608E-03  -0.448094E-06   0.123461E-06
    69   0.171661E+04  -0.489578E+01   0.598901E-03  -0.489578E+01   0.292403E+00  -0.479899E-06   0.598901E-03  -0.479899E-06   0.122791E-06
    70   0.173921E+04  -0.529816E+01   0.588642E-03  -0.529816E+01   0.304472E+00  -0.531381E-06   0.588642E-03  -0.531381E-06   0.122118E-06
    71   0.176194E+04  -0.571153E+01   0.578905E-03  -0.571153E+01   0.316774E+00  -0.602093E-06   0.578905E-03  -0.602093E-06   0.121444E-06
    72   0.178484E+04  -0.613731E+01   0.569648E-03  -0.613731E+01   0.329284E+00  -0.681185E-06   0.569648E-03  -0.681185E-06   0.120768E-06
    73   0.180788E+04  -0.657618E+01   0.560803E-03  -0.657618E+01   0.341968E+00  -0.755209E-06   0.560803E-03  -0.755209E-06   0.120090E-06
    74   0.183111E+04  -0.702735E+01   0.552301E-03  -0.702735E+01   0.354814E+00  -0.810712E-06   0.552301E-03  -0.810712E-06   0.119411E-06
    75   0.185464E+04  -0.748943E+01   0.544073E-03  -0.748943E+01   0.367833E+00  -0.834244E-06   0.544073E-03  -0.834244E-06   0.118730E-06
    76   0.187844E+04  -0.796186E+01   0.536054E-03  -0.796186E+01   0.381027E+00  -0.816893E-06   0.536054E-03  -0.816893E-06   0.118048E-06
    77   0.190255E+04  -0.844453E+01   0.528203E-03  -0.844453E+01   0.394387E+00  -0.767897E-06   0.528203E-03  -0.767897E-06   0.117364E-06
    78   0.192701E+04  -0.893891E+01   0.520482E-03  -0.893891E+01   0.407939E+00  -0.701033E-06   0.520482E-03  -0.701033E-06   0.116680E-06
    79   0.195164E+04  -0.944127E+01   0.512852E-03  -0.944127E+01   0.421629E+00  -0.630075E-06   0.512852E-03  -0.630075E-06   0.115996E-06
    80   0.197655E+04  -0.995308E+01   0.505276E-03  -0.995308E+01   0.435461E+00  -0.568802E-06   0.505276E-03  -0.568802E-06   0.115312E-06
    81   0.200162E+04  -0.104749E+02   0.497729E-03  -0.104749E+02   0.449385E+00  -0.528513E-06   0.497729E-03  -0.528513E-06   0.114629E-06
    82   0.202694E+04  -0.110056E+02   0.490238E-03  -0.110056E+02   0.463423E+00  -0.510607E-06   0.490238E-03  -0.510607E-06   0.113946E-06
    83   0.205243E+04  -0.115449E+02   0.482843E-03  -0.115449E+02   0.477550E+00  -0.514011E-06   0.482843E-03  -0.514011E-06   0.113264E-06
    84   0.207818E+04  -0.120907E+02   0.475581E-03  -0.120907E+02   0.491763E+00  -0.537647E-06   0.475581E-03  -0.537647E-06   0.112584E-06
    85   0.210405E+04  -0.126442E+02   0.468493E-03  -0.126442E+02   0.506037E+00  -0.580440E-06   0.468493E-03  -0.580440E-06   0.111906E-06
    86   0.213011E+04  -0.132041E+02   0.461610E-03  -0.132041E+02   0.520385E+00  -0.640383E-06   0.461610E-03  -0.640383E-06   0.111230E-06
    87   0.215660E+04  -0.137699E+02   0.454928E-03  -0.137699E+02   0.534777E+00  -0.711746E-06   0.454928E-03  -0.711746E-06   0.110556E-06
    88   0.218306E+04  -0.143415E+02   0.448435E-03  -0.143415E+02   0.549228E+00  -0.787868E-06   0.448435E-03  -0.787868E-06   0.109884E-06
    89   0.220987E+04  -0.149206E+02   0.442121E-03  -0.149206E+02   0.563725E+00  -0.862088E-06   0.442121E-03  -0.862088E-06   0.109215E-06
    90   0.223688E+04  -0.155044E+02   0.435973E-03  -0.155044E+02   0.578230E+00  -0.927744E-06   0.435973E-03  -0.927744E-06   0.108548E-06
    91   0.226402E+04  -0.160938E+02   0.429980E-03  -0.160938E+02   0.592738E+00  -0.979471E-06   0.429980E-03  -0.979471E-06   0.107884E-06
    92   0.229144E+04  -0.166879E+02   0.424137E-03  -0.166879E+02   0.607233E+00  -0.101709E-05   0.424137E-03  -0.101709E-05   0.107223E-06
    93   0.231914E+04  -0.172869E+02   0.418438E-03  -0.172869E+02   0.621710E+00  -0.104173E-05   0.418438E-03  -0.104173E-05   0.106564E-06
    94   0.234689E+04  -0.178894E+02   0.412879E-03  -0.178894E+02   0.636133E+00  -0.105450E-05   0.412879E-03  -0.105450E-05   0.105909E-06
    95   0.237493E+04  -0.184961E+02   0.407454E-03  -0.184961E+02   0.650501E+00  -0.105651E-05   0.407454E-03  -0.105651E-05   0.105257E-06
    96   0.240296E+04  -0.191064E+02   0.402158E-03  -0.191064E+02   0.664802E+00  -0.104890E-05   0.402158E-03  -0.104890E-05   0.104607E-06
    97   0.243142E+04  -0.197196E+02   0.396986E-03  -0.197196E+02   0.679022E+00  -0.103278E-05   0.396986E-03  -0.103278E-05   0.103961E-06
    98   0.246009E+04  -0.203335E+02   0.391934E-03  -0.203335E+02   0.693153E+00  -0.100927E-05   0.391934E-03  -0.100927E-05   0.103318E-06
    99   0.248883E+04  -0.209511E+02   0.386996E-03  -0.209511E+02   0.707161E+00  -0.979490E-06   0.386996E-03  -0.979490E-06   0.102678E-06
   100   0.251785E+04  -0.215680E+02   0.382168E-03  -0.215680E+02   0.721045E+00  -0.944554E-06   0.382168E-03  -0.944554E-06   0.102042E-06
   101   0.254701E+04  -0.221873E+02   0.377443E-03  -0.221873E+02   0.734866E+00  -0.905585E-06   0.377443E-03  -0.905585E-06   0.101408E-06
   102   0.257668E+04  -0.228067E+02   0.372818E-03  -0.228067E+02   0.748477E+00  -0.863702E-06   0.372818E-03  -0.863702E-06   0.100779E-06
   103   0.260628E+04  -0.234272E+02   0.368287E-03  -0.234272E+02   0.761953E+00  -0.820023E-06   0.368287E-03  -0.820023E-06   0.100153E-06
   104   0.263609E+04  -0.240457E+02   0.363845E-03  -0.240457E+02   0.775295E+00  -0.775668E-06   0.363845E-03  -0.775668E-06   0.995300E-07
   105   0.266605E+04  -0.246638E+02   0.359487E-03  -0.246638E+02   0.788428E+00  -0.731757E-06   0.359487E-03  -0.731757E-06   0.989110E-07
   106   0.269622E+04  -0.252808E+02   0.355208E-03  -0.252808E+02   0.801430E+00  -0.689408E-06   0.355208E-03  -0.689408E-06   0.982958E-07
   107   0.272632E+04  -0.258952E+02   0.351003E-03  -0.258952E+02   0.814152E+00  -0.649741E-06   0.351003E-03  -0.649741E-06   0.976843E-07
   108   0.275679E+04  -0.265080E+02   0.346867E-03  -0.265080E+02   0.826668E+00  -0.613874E-06   0.346867E-03  -0.613874E-06   0.970766E-07
   109   0.278741E+04  -0.271176E+02   0.342795E-03  -0.271176E+02   0.838907E+00  -0.582927E-06   0.342795E-03  -0.582927E-06   0.964728E-07
   110   0.281811E+04  -0.277226E+02   0.338782E-03  -0.277226E+02   0.850869E+00  -0.558019E-06   0.338782E-03  -0.558019E-06   0.958730E-07
   111   0.284896E+04  -0.283246E+02   0.334824E-03  -0.283246E+02   0.862628E+00  -0.539993E-06   0.334824E-03  -0.539993E-06   0.952772E-07
   112   0.287995E+04  -0.289228E+02   0.330920E-03  -0.289228E+02   0.874112E+00  -0.528591E-06   0.330920E-03  -0.528591E-06   0.946855E-07
   113   0.291117E+04  -0.295157E+02   0.327070E-03  -0.295157E+02   0.885320E+00  -0.523280E-06   0.327070E-03  -0.523280E-06   0.940977E-07
   114   0.294247E+04  -0.301025E+02   0.323274E-03  -0.301025E+02   0.896178E+00  -0.523523E-06   0.323274E-03  -0.523523E-06   0.935140E-07
   115   0.297398E+04  -0.306834E+02   0.319533E-03  -0.306834E+02   0.906835E+00  -0.528788E-06   0.319533E-03  -0.528788E-06   0.929343E-07
   116   0.300550E+04  -0.312574E+02   0.315846E-03  -0.312574E+02   0.917068E+00  -0.538540E-06   0.315846E-03  -0.538540E-06   0.923586E-07
   117   0.303731E+04  -0.318240E+02   0.312214E-03  -0.318240E+02   0.926953E+00  -0.552245E-06   0.312214E-03  -0.552245E-06   0.917870E-07
   118   0.306926E+04  -0.323837E+02   0.308637E-03  -0.323837E+02   0.936636E+00  -0.569369E-06   0.308637E-03  -0.569369E-06   0.912195E-07
   119   0.310121E+04  -0.329344E+02   0.305115E-03  -0.329344E+02   0.945972E+00  -0.589377E-06   0.305115E-03  -0.589377E-06   0.906559E-07
   120   0.313330E+04  -0.334761E+02   0.301648E-03  -0.334761E+02   0.954809E+00  -0.611736E-06   0.301648E-03  -0.611736E-06   0.900964E-07
   121   0.316539E+04  -0.340088E+02   0.298236E-03  -0.340088E+02   0.963448E+00  -0.635911E-06   0.298236E-03  -0.635911E-06   0.895410E-07
   122   0.319754E+04  -0.345317E+02   0.294880E-03  -0.345317E+02   0.971589E+00  -0.661367E-06   0.294880E-03  -0.661367E-06   0.889896E-07
