#    L    TT             EE             TE             PP             TP          
    75   0.185464E+04   0.367833E+00  -0.748943E+01   0.539670E+07   0.913386E+04
    76   0.187844E+04   0.381027E+00  -0.796186E+01   0.536755E+07   0.900159E+04
    77   0.190255E+04   0.394387E+00  -0.844453E+01   0.533828E+07   0.887199E+04
    78   0.192701E+04   0.407939E+00  -0.893891E+01   0.530891E+07   0.874445E+04
    79   0.195164E+04   0.421629E+00  -0.944127E+01   0.527946E+07   0.861834E+04
    80   0.197655E+04   0.435461E+00  -0.995308E+01   0.524997E+07   0.849302E+04
    81   0.200162E+04   0.449385E+00  -0.104749E+02   0.522044E+07   0.836808E+04
    82   0.202694E+04   0.463423E+00  -0.110056E+02   0.519090E+07   0.824398E+04
    83   0.205243E+04   0.477550E+00  -0.115449E+02   0.516135E+07   0.812138E+04
    84   0.207818E+04   0.491763E+00  -0.120907E+02   0.513182E+07   0.800094E+04
    85   0.210405E+04   0.506037E+00  -0.126442E+02   0.510232E+07   0.788333E+04
    86   0.213011E+04   0.520385E+00  -0.132041E+02   0.507286E+07   0.776908E+04
    87   0.215660E+04   0.534777E+00  -0.137699E+02   0.504344E+07   0.765814E+04
    88   0.218306E+04   0.549228E+00  -0.143415E+02   0.501409E+07   0.755031E+04
    89   0.220987E+04   0.563725E+00  -0.149206E+02   0.498481E+07   0.744540E+04
    90   0.223688E+04   0.578230E+00  -0.155044E+02   0.495560E+07   0.734323E+04
    91   0.226402E+04   0.592738E+00  -0.160938E+02   0.492648E+07   0.724361E+04
    92   0.229144E+04   0.607233E+00  -0.166879E+02   0.489745E+07   0.714645E+04
    93   0.231914E+04   0.621710E+00  -0.172869E+02   0.486850E+07   0.705167E+04
    94   0.234689E+04   0.636133E+00  -0.178894E+02   0.483966E+07   0.695917E+04
    95   0.237493E+04   0.650501E+00  -0.184961E+02   0.481091E+07   0.686889E+04
    96   0.240296E+04   0.664802E+00  -0.191064E+02   0.478227E+07   0.678073E+04
    97   0.243142E+04   0.679022E+00  -0.197196E+02   0.475374E+07   0.669461E+04
    98   0.246009E+04   0.693153E+00  -0.203335E+02   0.472532E+07   0.661046E+04
    99   0.248883E+04   0.707161E+00  -0.209511E+02   0.469702E+07   0.652818E+04
   100   0.251785E+04   0.721045E+00  -0.215680E+02   0.466884E+07   0.644769E+04
   101   0.254701E+04   0.734866E+00  -0.221873E+02   0.464078E+07   0.636892E+04
   102   0.257668E+04   0.748477E+00  -0.228067E+02   0.461285E+07   0.629178E+04
   103   0.260628E+04   0.761953E+00  -0.234272E+02   0.458505E+07   0.621618E+04
   104   0.263609E+04   0.775295E+00  -0.240457E+02   0.455739E+07   0.614205E+04
   105   0.266605E+04   0.788428E+00  -0.246638E+02   0.452986E+07   0.606930E+04
   106   0.269622E+04   0.801430E+00  -0.252808E+02   0.450249E+07   0.599785E+04
   107   0.272632E+04   0.814152E+00  -0.258952E+02   0.447525E+07   0.592761E+04
   108   0.275679E+04   0.826668E+00  -0.265080E+02   0.444818E+07   0.585850E+04
   109   0.278741E+04   0.838907E+00  -0.271176E+02   0.442125E+07   0.579045E+04
   110   0.281811E+04   0.850869E+00  -0.277226E+02   0.439449E+07   0.572336E+04
   111   0.284896E+04   0.862628E+00  -0.283246E+02   0.436788E+07   0.565717E+04
   112   0.287995E+04   0.874112E+00  -0.289228E+02   0.434145E+07   0.559187E+04
   113   0.291117E+04   0.885320E+00  -0.295157E+02   0.431517E+07   0.552745E+04
   114   0.294247E+04   0.896178E+00  -0.301025E+02   0.428907E+07   0.546393E+04
   115   0.297398E+04   0.906835E+00  -0.306834E+02   0.426312E+07   0.540131E+04
   116   0.300550E+04   0.917068E+00  -0.312574E+02   0.423735E+07   0.533959E+04
   117   0.303731E+04   0.926953E+00  -0.318240E+02   0.421174E+07   0.527876E+04
   118   0.306926E+04   0.936636E+00  -0.323837E+02   0.418630E+07   0.521885E+04
   119   0.310121E+04   0.945972E+00  -0.329344E+02   0.416102E+07   0.515984E+04
   120   0.313330E+04   0.954809E+00  -0.334761E+02   0.413592E+07   0.510174E+04
   121   0.316539E+04   0.963448E+00  -0.340088E+02   0.411098E+07   0.504456E+04
   122   0.319754E+04   0.971589E+00  -0.345317E+02   0.408622E+07   0.498829E+04
   123   0.322976E+04   0.979308E+00  -0.350448E+02   0.406162E+07   0.493294E+04
   124   0.326205E+04   0.986680E+00  -0.355452E+02   0.403719E+07   0.487852E+04
   125   0.329432E+04   0.993629E+00  -0.360350E+02   0.401294E+07   0.482502E+04
   126   0.332667E+04   0.100023E+01  -0.365136E+02   0.398886E+07   0.477245E+04
   127   0.335899E+04   0.100634E+01  -0.369801E+02   0.396495E+07   0.472082E+04
   128   0.339131E+04   0.101210E+01  -0.374339E+02   0.394121E+07   0.467012E+04
   129   0.342369E+04   0.101736E+01  -0.378741E+02   0.391765E+07   0.462035E+04
   130   0.345606E+04   0.102213E+01  -0.383001E+02   0.389426E+07   0.457153E+04
   131   0.348841E+04   0.102656E+01  -0.387133E+02   0.387105E+07   0.452365E+04
   132   0.352082E+04   0.103048E+01  -0.391108E+02   0.384801E+07   0.447668E+04
   133   0.355315E+04   0.103399E+01  -0.394948E+02   0.382514E+07   0.443059E+04
   134   0.358547E+04   0.103708E+01  -0.398611E+02   0.380245E+07   0.438536E+04
   135   0.361778E+04   0.103967E+01  -0.402124E+02   0.377992E+07   0.434095E+04
   136   0.364993E+04   0.104176E+01  -0.405453E+02   0.375757E+07   0.429733E+04
   137   0.368209E+04   0.104343E+01  -0.408619E+02   0.373539E+07   0.425448E+04
   138   0.371417E+04   0.104461E+01  -0.411609E+02   0.371337E+07   0.421236E+04
   139   0.374603E+04   0.104544E+01  -0.414415E+02   0.369152E+07   0.417093E+04
   140   0.377796E+04   0.104569E+01  -0.417046E+02   0.366984E+07   0.413018E+04
   141   0.380968E+04   0.104545E+01  -0.419479E+02   0.364833E+07   0.409008E+04
