#    L    TT             EE             TE             PP             TP          
    75   0.186012E+04   0.367069E+00  -0.751024E+01   0.532300E+07   0.915520E+04
    76   0.188402E+04   0.380225E+00  -0.798249E+01   0.529390E+07   0.902234E+04
    77   0.190822E+04   0.393547E+00  -0.846487E+01   0.526469E+07   0.889263E+04
    78   0.193279E+04   0.407061E+00  -0.895888E+01   0.523540E+07   0.876529E+04
    79   0.195751E+04   0.420712E+00  -0.946084E+01   0.520603E+07   0.863953E+04
    80   0.198251E+04   0.434505E+00  -0.997225E+01   0.517662E+07   0.851459E+04
    81   0.200767E+04   0.448390E+00  -0.104937E+02   0.514719E+07   0.838990E+04
    82   0.203308E+04   0.462388E+00  -0.110242E+02   0.511774E+07   0.826587E+04
    83   0.205866E+04   0.476474E+00  -0.115632E+02   0.508829E+07   0.814316E+04
    84   0.208450E+04   0.490645E+00  -0.121088E+02   0.505887E+07   0.802239E+04
    85   0.211046E+04   0.504875E+00  -0.126620E+02   0.502948E+07   0.790422E+04
    86   0.213660E+04   0.519178E+00  -0.132217E+02   0.500013E+07   0.778916E+04
    87   0.216317E+04   0.533523E+00  -0.137872E+02   0.497084E+07   0.767722E+04
    88   0.218972E+04   0.547926E+00  -0.143585E+02   0.494162E+07   0.756830E+04
    89   0.221662E+04   0.562373E+00  -0.149373E+02   0.491247E+07   0.746228E+04
    90   0.224371E+04   0.576828E+00  -0.155207E+02   0.488339E+07   0.735906E+04
    91   0.227094E+04   0.591284E+00  -0.161095E+02   0.485441E+07   0.725853E+04
    92   0.229844E+04   0.605728E+00  -0.167031E+02   0.482552E+07   0.716060E+04
    93   0.232622E+04   0.620152E+00  -0.173014E+02   0.479672E+07   0.706517E+04
    94   0.235406E+04   0.634520E+00  -0.179032E+02   0.476803E+07   0.697214E+04
    95   0.238219E+04   0.648834E+00  -0.185091E+02   0.473943E+07   0.688143E+04
    96   0.241029E+04   0.663080E+00  -0.191185E+02   0.471095E+07   0.679294E+04
    97   0.243883E+04   0.677244E+00  -0.197307E+02   0.468258E+07   0.670658E+04
    98   0.246759E+04   0.691318E+00  -0.203435E+02   0.465432E+07   0.662226E+04
    99   0.249640E+04   0.705268E+00  -0.209600E+02   0.462618E+07   0.653987E+04
   100   0.252550E+04   0.719094E+00  -0.215757E+02   0.459817E+07   0.645934E+04
   101   0.255474E+04   0.732857E+00  -0.221938E+02   0.457028E+07   0.638056E+04
   102   0.258450E+04   0.746408E+00  -0.228119E+02   0.454252E+07   0.630344E+04
   103   0.261417E+04   0.759824E+00  -0.234310E+02   0.451490E+07   0.622789E+04
   104   0.264406E+04   0.773104E+00  -0.240480E+02   0.448742E+07   0.615382E+04
   105   0.267410E+04   0.786177E+00  -0.246646E+02   0.446007E+07   0.608112E+04
   106   0.270435E+04   0.799116E+00  -0.252801E+02   0.443288E+07   0.600972E+04
   107   0.273453E+04   0.811775E+00  -0.258930E+02   0.440583E+07   0.593951E+04
   108   0.276508E+04   0.824228E+00  -0.265040E+02   0.437894E+07   0.587041E+04
   109   0.279578E+04   0.836403E+00  -0.271119E+02   0.435220E+07   0.580231E+04
   110   0.282655E+04   0.848300E+00  -0.277152E+02   0.432563E+07   0.573513E+04
   111   0.285748E+04   0.859995E+00  -0.283154E+02   0.429922E+07   0.566879E+04
   112   0.288855E+04   0.871413E+00  -0.289117E+02   0.427297E+07   0.560328E+04
   113   0.291985E+04   0.882555E+00  -0.295027E+02   0.424690E+07   0.553861E+04
   114   0.295122E+04   0.893347E+00  -0.300876E+02   0.422098E+07   0.547478E+04
   115   0.298282E+04   0.903937E+00  -0.306664E+02   0.419524E+07   0.541181E+04
   116   0.301441E+04   0.914104E+00  -0.312384E+02   0.416966E+07   0.534970E+04
   117   0.304630E+04   0.923922E+00  -0.318028E+02   0.414425E+07   0.528847E+04
   118   0.307833E+04   0.933538E+00  -0.323604E+02   0.411901E+07   0.522811E+04
   119   0.311036E+04   0.942807E+00  -0.329089E+02   0.409394E+07   0.516864E+04
   120   0.314253E+04   0.951578E+00  -0.334483E+02   0.406903E+07   0.511007E+04
   121   0.317469E+04   0.960149E+00  -0.339786E+02   0.404430E+07   0.505240E+04
   122   0.320692E+04   0.968224E+00  -0.344991E+02   0.401974E+07   0.499565E+04
   123   0.323922E+04   0.975878E+00  -0.350097E+02   0.399535E+07   0.493981E+04
   124   0.327159E+04   0.983183E+00  -0.355076E+02   0.397113E+07   0.488490E+04
   125   0.330394E+04   0.990068E+00  -0.359948E+02   0.394708E+07   0.483093E+04
